date,new_cases,new_deaths,hosp_patients,positive_rate
2021-07-25,28908.0,81.0,7714.0,0.06999999999999999
2021-08-01,65441.0,68.0,9941.857142857143,0.10142857142857142
2021-08-08,95410.0,83.0,13775.42857142857,0.13714285714285715
2021-08-15,113250.0,128.0,17654.571428571428,0.16999999999999998
2021-08-22,155807.0,223.0,20654.571428571428,0.18142857142857144
2021-08-29,154011.0,315.0,23356.85714285714,0.18571428571428572
2021-09-05,117008.0,408.0,24264.571428571428,0.14857142857142858
2021-09-12,68173.0,443.0,23060.714285714286,0.10571428571428572
2021-09-19,37166.0,407.0,18931.285714285714,0.06714285714285714
2021-09-26,17964.0,278.0,14131.714285714286,0.047142857142857146
2021-10-03,10371.0,248.0,8988.42857142857,0.027142857142857142
2021-10-10,5927.0,211.0,5471.285714285715,0.018571428571428572
2021-10-17,3747.0,162.0,3412.285714285714,0.01
2021-10-24,2218.0,96.0,2215.8571428571427,0.01
2021-10-31,5926.0,69.0,1457.5714285714287,0.01
2021-11-07,1336.0,42.0,1050.0,0.002857142857142857
2021-11-14,1266.0,17.0,814.7142857142857,0.0
2021-11-21,1008.0,20.0,662.8571428571429,0.0
2021-11-28,669.0,11.0,556.7142857142857,0.0
2021-12-05,799.0,6.0,451.85714285714283,0.0
2021-12-12,878.0,9.0,378.85714285714283,0.0
2021-12-19,1144.0,6.0,400.57142857142856,0.0
2021-12-26,1825.0,8.0,549.5714285714286,0.0014285714285714286
2022-01-02,3019.0,8.0,898.0,0.01
2022-01-09,30796.0,8.0,1906.0,0.037142857142857144
2022-01-16,114235.0,30.0,5390.571428571428,0.11714285714285715
2022-01-23,289814.0,73.0,9707.714285714286,0.19714285714285712
2022-01-30,499985.0,258.0,15459.0,0.2842857142857143
2022-02-06,630951.0,560.0,21114.714285714286,0.37142857142857144
2022-02-13,611609.0,1035.0,25568.0,0.43714285714285717
2022-02-20,572555.0,1462.0,28513.285714285714,0.47000000000000003
